ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
0.45901639344262296,0.07365792759051186,0.02610966057441253,0.09762532981530343,0.11392405063291139,0.0,0.0,0.8,0.22708868259924944,0.5555555555555556,0.6666666666666666,0.09615384615384616,0.058823529411764705,0.5,1.0,0.030303030303030304,0.030303030303030304,0.3448275862068966,0.20169851380042464,0.125,0.09090909090909091,0.05555555555555555,1.0,0.0
0.8360655737704918,0.2983770287141074,0.08616187989556136,0.2612137203166227,0.22784810126582278,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.17307692307692307,0.0,0.28,0.0,0.015151515151515152,0.015151515151515152,0.0603448275862069,0.11040339702760085,0.0625,0.045454545454545456,0.0,0.5,1.0
0.8360655737704918,0.2846441947565543,0.007832898172323759,0.24010554089709762,0.3037974683544304,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.46153846153846156,0.17647058823529413,0.24,0.125,0.030303030303030304,0.030303030303030304,0.09051724137931035,0.1412234852532107,0.09375,0.0,0.05555555555555555,0.36,1.0
0.5737704918032787,0.1947565543071161,0.005221932114882507,0.15567282321899736,0.5316455696202531,0.05263157894736842,0.05263157894736842,0.91,0.04819277108433735,0.4444444444444444,0.3333333333333333,0.4519230769230769,0.29411764705882354,0.4,0.0,0.030303030303030304,0.030303030303030304,0.021551724137931036,0.1316348195329087,0.125,0.13636363636363635,0.0,0.57,1.0
0.8032786885245902,0.2883895131086142,0.005221932114882507,0.23218997361477572,0.7088607594936709,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.6346153846153846,0.5294117647058824,0.49,0.0,0.015151515151515152,0.015151515151515152,0.034482758620689655,0.13588110403397027,0.0625,0.5454545454545454,0.1111111111111111,0.62,1.0
0.5081967213114754,0.3021223470661673,0.020887728459530026,0.19525065963060687,0.5443037974683544,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.4230769230769231,0.23529411764705882,0.25,0.0,0.09090909090909091,0.09090909090909091,0.3793103448275862,0.14906671332649066,0.40625,0.13636363636363635,0.3333333333333333,0.86,0.0
0.6885245901639344,0.23220973782771537,0.010443864229765013,0.12137203166226913,0.22784810126582278,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.18269230769230768,0.058823529411764705,0.5,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.1896551724137931,0.12738853503184713,0.15625,0.13636363636363635,0.05555555555555555,0.82,1.0
0.5409836065573771,0.24094881398252185,0.033942558746736295,0.1662269129287599,0.24050632911392406,0.0,0.0,0.95,0.0,0.4444444444444444,0.6666666666666666,0.19230769230769232,0.0,0.42,0.125,0.015151515151515152,0.015151515151515152,0.09913793103448276,0.1762208067940552,0.09375,0.09090909090909091,0.0,0.88,0.0
0.819672131147541,0.37952559300873906,0.005221932114882507,0.23218997361477572,0.379746835443038,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.3076923076923077,0.17647058823529413,0.22,0.14297543472260557,0.0,0.0,0.07758620689655173,0.1412234852532107,0.15625,0.0,0.05555555555555555,0.43,1.0
0.7540983606557377,0.21348314606741572,0.007832898172323759,0.22427440633245382,0.1518987341772152,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.11538461538461539,0.11764705882352941,0.25,0.0,0.0,0.0,0.12931034482758622,0.18471337579617833,0.125,0.09090909090909091,0.05555555555555555,0.8,1.0
